Tom_Mother@DFfgO.com, Tom, Mother,orange,white
Bob_May@L2d.com, Bob, May,grey,blue
Mary_Rubble@D.cc.ca.us, Mary, Rubble,green,black
Maggie_Struthers@qr.cc.ca.us, Maggie, Struthers,lightyellow,darkred
Curly_Flinstone@IQP.com, Curly, Flinstone,darkblue,yellow
Maggie_Lucci@ao6.com, Maggie, Lucci,orange,lightblue
Angie_Curlyfries@4AF.com, Angie, Curlyfries,white,red
Angie_Johnson@T.com, Angie, Johnson,lightyellow,lightgreen
Bruce_Simpson@dSe.com, Bruce, Simpson,lightgreen,darkgreen
Marge_Lucci@FKR.com, Marge, Lucci,red,lightgreen
Tom_Lucci@Lt.com, Tom, Lucci,pink,darkred
Curly_Lucci@J6b5.com, Curly, Lucci,green,black
Susan_Struthers@w1.net, Susan, Struthers,green,yellow
Lisa_Curlyfries@Cpx.com, Lisa, Curlyfries,lightgreen,brown
Larry_May@k5NOk.com, Larry, May,black,darkred
Barney_Tomberg@jnx.com, Barney, Tomberg,orange,brown
Ward_Lucci@1HSvb.com, Ward, Lucci,darkgreen,orange
Moe_Rubble@b4.com, Moe, Rubble,purple,black
Maggie_Tomberg@yiNL.org, Maggie, Tomberg,lightyellow,black
Ward_Dickinson@pPXZ.com, Ward, Dickinson,grey,green
Angie_Mother@uR.com, Angie, Mother,orange,lightyellow
Marge_Larry@mbMV.com, Marge, Larry,blue,green
Maggie_Thatcher@Dnqr.com, Maggie, Thatcher,white,black
Fred_Simpson@2C88.com, Fred, Simpson,yellow,orange
Mary_Flinstone@6kG.com, Mary, Flinstone,white,brown
Bob_Dickinson@14K.com, Bob, Dickinson,grey,pink
Moe_Simpson@5U.com, Moe, Simpson,lightyellow,white
Bob_Moore@X4.com, Bob, Moore,blue,grey
Mary_Ward@Z.cc.ca.us, Mary, Ward,black,pink
Bruce_Struthers@krFN.com, Bruce, Struthers,lightyellow,lightgreen
Mary_Ward@24.com, Mary, Ward,lightyellow,black
Larry_Simpson@2Gxr.com, Larry, Simpson,darkred,green
Barney_Rubble@8i65.com, Barney, Rubble,lightyellow,orange
Fred_Johnson@MffD.com, Fred, Johnson,pink,lightyellow
Maggie_Struthers@7JU.com, Maggie, Struthers,lightgreen,yellow
Angie_Rubble@xT.com, Angie, Rubble,red,lightgreen
Sally_May@3p.com, Sally, May,purple,white
John_Tomberg@K5i.com, John, Tomberg,lightgreen,orange
Moe_Curlyfries@f0JU.com, Moe, Curlyfries,lightgreen,red
Lisa_Ward@rEKcS.gov, Lisa, Ward,green,purple
Fred_Curlyfries@3.com, Fred, Curlyfries,red,lightyellow
Bruce_Simpson@NvH.com, Bruce, Simpson,darkblue,white
Tom_Simpson@ILUq.cc.ca.us, Tom, Simpson,white,red
Fred_Rubble@Ug.org, Fred, Rubble,yellow,white
Bruce_Flinstone@SmL8.com, Bruce, Flinstone,lightblue,orange
Sally_May@aN7.com, Sally, May,yellow,darkgreen
Angie_Curlyfries@f.com, Angie, Curlyfries,grey,pink
Curly_Moore@nEa.com, Curly, Moore,pink,brown
Bob_Rubble@kEP.com, Bob, Rubble,grey,lightblue
Bruce_Dickinson@pq3.com, Bruce, Dickinson,lightblue,pink
Ward_Bobson@0.com, Ward, Bobson,lightblue,pink
Susan_Simpson@l.com, Susan, Simpson,lightblue,pink
Fred_Tomberg@T.com, Fred, Tomberg,darkred,orange
Bob_Struthers@C5TBb.com, Bob, Struthers,black,lightyellow
Mary_Tomberg@J.com, Mary, Tomberg,pink,darkgreen
Angie_Flinstone@r.com, Angie, Flinstone,lightyellow,green
Sally_May@O8T40.com, Sally, May,blue,darkred
John_Larry@2NL.com, John, Larry,darkred,grey
Moe_Simpson@unE.com, Moe, Simpson,white,brown
Angie_Wayne@Sji.com, Angie, Wayne,yellow,red
Angie_Tomberg@7j5.com, Angie, Tomberg,green,darkgreen
Tom_Moore@4.com, Tom, Moore,yellow,white
John_Dickinson@7TWI.net, John, Dickinson,pink,lightgreen
Fred_Johnson@cRww.com, Fred, Johnson,orange,green
John_Rubble@PI2ZN.cc.ca.us, John, Rubble,white,black
Fred_Bobson@DOj.com, Fred, Bobson,darkgreen,orange
Moe_Ward@tV.com, Moe, Ward,brown,lightyellow
Bruce_Dickinson@1XKjw.com, Bruce, Dickinson,green,pink
Moe_Simpson@dNdb.com, Moe, Simpson,grey,blue
Ward_Ward@Vc.cc.ca.us, Ward, Ward,darkblue,darkred
Tom_Tomberg@F.com, Tom, Tomberg,pink,darkred
Marge_Moore@zj.com, Marge, Moore,grey,purple
Barney_Bobson@Q2lm.com, Barney, Bobson,brown,black
Mary_Struthers@Kc.net, Mary, Struthers,lightyellow,pink
Bob_Ward@hVMr.com, Bob, Ward,darkred,purple
Lisa_Struthers@tgc.com, Lisa, Struthers,lightyellow,blue
Mary_Simpson@AWJMV.com, Mary, Simpson,blue,orange
Sally_Ward@TKI.org, Sally, Ward,lightyellow,brown
Maggie_Lucci@TcC.com, Maggie, Lucci,lightgreen,darkblue
John_Larry@AVTP.com, John, Larry,yellow,lightyellow
Bruce_Flinstone@51Tj.com, Bruce, Flinstone,lightyellow,pink
Angie_Rubble@mDI.cc.ca.us, Angie, Rubble,purple,lightyellow
Curly_Bobson@Ejf.com, Curly, Bobson,green,brown
Bruce_Flinstone@2.com, Bruce, Flinstone,blue,black
Maggie_Lucci@mJ.com, Maggie, Lucci,pink,red
Ward_Wayne@kQd.com, Ward, Wayne,lightyellow,darkgreen
Angie_Johnson@bb.com, Angie, Johnson,purple,yellow
Angie_Tomberg@5X7.com, Angie, Tomberg,black,lightgreen
Fred_Simpson@elU1u.com, Fred, Simpson,darkblue,purple
Bruce_Bobson@fy5p.com, Bruce, Bobson,lightblue,green
Angie_Lucci@cn.cc.ca.us, Angie, Lucci,lightblue,black
Ward_Curlyfries@CwL.com, Ward, Curlyfries,purple,green
Barney_Struthers@Njd.com, Barney, Struthers,white,pink
Angie_Moore@qL.gov, Angie, Moore,purple,brown
Lisa_Rubble@pwK.com, Lisa, Rubble,lightyellow,darkred
Moe_Dickinson@CRk3.cc.ca.us, Moe, Dickinson,black,grey
Sally_Mother@XE8.org, Sally, Mother,lightgreen,lightblue
Bruce_Bobson@dw.com, Bruce, Bobson,lightblue,lightyellow
Bruce_Ward@o7sR.com, Bruce, Ward,darkblue,blue
Barney_Thatcher@CTeN.com, Barney, Thatcher,brown,grey
Moe_Ward@e6ogp.net, Moe, Ward,purple,lightyellow
Mary_Moore@CQX5Ug.cc.ca.us, Mary, Moore,purple,darkred
Tom_Larry@FY1.com, Tom, Larry,lightyellow,yellow
Tom_Johnson@Lt.com, Tom, Johnson,pink,red
Marge_Moore@1U4t.com, Marge, Moore,black,orange
Susan_Ward@H.com, Susan, Ward,darkgreen,blue
Ward_Moore@Y3D.com, Ward, Moore,orange,purple
Barney_Bobson@JzgQ.com, Barney, Bobson,darkblue,darkred
Ward_Tomberg@K7P.com, Ward, Tomberg,white,brown
Bob_Rubble@2MO.com, Bob, Rubble,yellow,black
Sally_Bobson@gSRT.com, Sally, Bobson,black,yellow
Maggie_Moore@gq2Z.com, Maggie, Moore,lightyellow,lightgreen
Barney_Tomberg@Hf.com, Barney, Tomberg,lightyellow,white
Ward_Flinstone@A.com, Ward, Flinstone,pink,lightblue
Sally_Curlyfries@82PRrZr.com, Sally, Curlyfries,red,blue
Bob_Rubble@6nw7Da.com, Bob, Rubble,grey,purple
Maggie_Tomberg@pE5.com, Maggie, Tomberg,yellow,red
Bruce_Wayne@KY.com, Bruce, Wayne,blue,lightgreen
Lisa_Struthers@GzNL.cc.ca.us, Lisa, Struthers,darkred,red
Marge_Struthers@UNT.com, Marge, Struthers,darkgreen,black
